カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
バリデーション	public/js/workflow-route-designer.js:568	App.showNotification('動的承認者フィールドを選択してください', 'error');	validation.workflow_route_designer.l568	P1
ワークフロー	public/js/workflow-route-designer.js:597	App.showNotification(response.message || '承認者を更新しました', 'success');	workflow.workflow_route_designer.l597	P1
ワークフロー	public/js/workflow-route-designer.js:599	App.showNotification(response.error || '承認者の更新に失敗しました', 'error');	workflow.workflow_route_designer.l599	P1
ワークフロー	public/js/workflow-route-designer.js:604	App.showNotification('承認者の更新に失敗しました', 'error');	workflow.workflow_route_designer.l604	P1
ワークフロー	public/js/workflow-route-designer.js:610	id: null, // API保存時に割り当てられる	workflow.workflow_route_designer.l610	P1
ワークフロー	public/js/workflow-route-designer.js:621	sort_order: 0 // APIで自動設定	workflow.workflow_route_designer.l621	P1
ワークフロー	public/js/workflow-route-designer.js:647	App.showNotification(response.message || '承認者を追加しました', 'success');	workflow.workflow_route_designer.l647	P1
ワークフロー	public/js/workflow-route-designer.js:655	App.showNotification(response.error || '承認者の追加に失敗しました', 'error');	workflow.workflow_route_designer.l655	P1
ワークフロー	public/js/workflow-route-designer.js:667	App.showNotification('承認者の追加に失敗しました', 'error');	workflow.workflow_route_designer.l667	P1
JS	Controllers/CsvImportController.php:33	'title' => 'CSVインポート',	js.csvimportcontroller.l33	P3
JS	Controllers/CsvImportController.php:48	['yamada.taro', 'Password123', '山田太郎', 'yamada@example.com', 'user', 'SALES001'],	js.csvimportcontroller.l48	P3
JS	Controllers/CsvImportController.php:49	['suzuki.hanako', 'Password456', '鈴木花子', 'suzuki@example.com', 'admin', 'SALES002'],	js.csvimportcontroller.l49	P3
JS	Controllers/CsvImportController.php:56	['SALES', '営業部', '', '営業活動を担当', '1'],	js.csvimportcontroller.l56	P3
JS	Controllers/CsvImportController.php:57	['SALES001', '営業1課', 'SALES', '国内営業担当', '1'],	js.csvimportcontroller.l57	P3
JS	Controllers/CsvImportController.php:58	['SALES002', '営業2課', 'SALES', '海外営業担当', '2'],	js.csvimportcontroller.l58	P3
JS	Controllers/CsvImportController.php:65	['田中一郎', 'タナカイチロウ', '株式会社サンプル', '営業部', '部長', 'tanaka@example.com', '03-1234-5678', '090-1234-5678', '取引先'],	js.csvimportcontroller.l65	P3
JS	Controllers/CsvImportController.php:66	['佐藤次郎', 'サトウジロウ', '株式会社テスト', '開発部', '課長', 'sato@example.com', '06-9876-5432', '080-9876-5432', '取引先'],	js.csvimportcontroller.l66	P3
JS	Controllers/CsvImportController.php:100	$this->json(['success' => false, 'message' => 'CSRFトークンが無効です。'], 403);	js.csvimportcontroller.l100	P3
JS	Controllers/CsvImportController.php:109	$this->json(['success' => false, 'message' => 'CSVファイルにデータがありません。']);	js.csvimportcontroller.l109	P3
バリデーション	Controllers/CsvImportController.php:116	$this->json(['success' => false, 'message' => "必須列「{$col}」がCSVに見つかりません。"]);	validation.csvimportcontroller.l116	P1
JS	Controllers/CsvImportController.php:133	$lineNum = $i + 2; // ヘッダー行 + 0-index	js.csvimportcontroller.l133	P3
バリデーション	Controllers/CsvImportController.php:144	$errors[] = "{$lineNum}行目: username, password, display_name は必須です。";	validation.csvimportcontroller.l144	P1
JS	Controllers/CsvImportController.php:156	$errors[] = "{$lineNum}行目: ユーザー名「{$username}」は既に存在します。";	js.csvimportcontroller.l156	P3
JS	Controllers/CsvImportController.php:164	$errors[] = "{$lineNum}行目: メールアドレス「{$email}」は既に使用されています。";	js.csvimportcontroller.l164	P3
JS	Controllers/CsvImportController.php:177	$errors[] = "{$lineNum}行目: 組織コード「{$organizationCode}」が見つかりません。";	js.csvimportcontroller.l177	P3
バリデーション	Controllers/CsvImportController.php:193	$this->json(['success' => false, 'message' => 'インポート中にエラーが発生しました: ' . $e->getMessage()]);	validation.csvimportcontroller.l193	P1
バリデーション	Controllers/CsvImportController.php:198	'message' => "インポート完了: 成功 {$successCount}件、エラー {$errorCount}件",	validation.csvimportcontroller.l198	P1
JS	Controllers/CsvImportController.php:211	$this->json(['success' => false, 'message' => 'CSRFトークンが無効です。'], 403);	js.csvimportcontroller.l211	P3
JS	Controllers/CsvImportController.php:220	$this->json(['success' => false, 'message' => 'CSVファイルにデータがありません。']);	js.csvimportcontroller.l220	P3
バリデーション	Controllers/CsvImportController.php:227	$this->json(['success' => false, 'message' => "必須列「{$col}」がCSVに見つかりません。"]);	validation.csvimportcontroller.l227	P1
バリデーション	Controllers/CsvImportController.php:253	$errors[] = "{$lineNum}行目: name は必須です。";	validation.csvimportcontroller.l253	P1
JS	Controllers/CsvImportController.php:262	$errors[] = "{$lineNum}行目: 親組織コード「{$parentCode}」が見つかりません。";	js.csvimportcontroller.l262	P3
JS	Controllers/CsvImportController.php:274	$errors[] = "{$lineNum}行目: 組織コード「{$code}」は既に存在します。";	js.csvimportcontroller.l274	P3
JS	Controllers/CsvImportController.php:292	$errors[] = "{$lineNum}行目: 同じ階層に組織名「{$name}」が既に存在します。";	js.csvimportcontroller.l292	P3
バリデーション	Controllers/CsvImportController.php:317	$this->json(['success' => false, 'message' => 'インポート中にエラーが発生しました: ' . $e->getMessage()]);	validation.csvimportcontroller.l317	P1
バリデーション	Controllers/CsvImportController.php:322	'message' => "インポート完了: 成功 {$successCount}件、エラー {$errorCount}件",	validation.csvimportcontroller.l322	P1
JS	Controllers/CsvImportController.php:335	$this->json(['success' => false, 'message' => 'CSRFトークンが無効です。'], 403);	js.csvimportcontroller.l335	P3
JS	Controllers/CsvImportController.php:344	$this->json(['success' => false, 'message' => 'CSVファイルにデータがありません。']);	js.csvimportcontroller.l344	P3
バリデーション	Controllers/CsvImportController.php:351	$this->json(['success' => false, 'message' => "必須列「{$col}」がCSVに見つかりません。"]);	validation.csvimportcontroller.l351	P1
バリデーション	Controllers/CsvImportController.php:373	$errors[] = "{$lineNum}行目: name は必須です。";	validation.csvimportcontroller.l373	P1
バリデーション	Controllers/CsvImportController.php:396	$this->json(['success' => false, 'message' => 'インポート中にエラーが発生しました: ' . $e->getMessage()]);	validation.csvimportcontroller.l396	P1
バリデーション	Controllers/CsvImportController.php:401	'message' => "インポート完了: 成功 {$successCount}件、エラー {$errorCount}件",	validation.csvimportcontroller.l401	P1
JS	Controllers/CsvImportController.php:415	UPLOAD_ERR_INI_SIZE => 'ファイルサイズがサーバーの上限を超えています。',	js.csvimportcontroller.l415	P3
JS	Controllers/CsvImportController.php:416	UPLOAD_ERR_FORM_SIZE => 'ファイルサイズがフォームの上限を超えています。',	js.csvimportcontroller.l416	P3
JS	Controllers/CsvImportController.php:417	UPLOAD_ERR_PARTIAL => 'ファイルが部分的にしかアップロードされていません。',	js.csvimportcontroller.l417	P3
JS	Controllers/CsvImportController.php:418	UPLOAD_ERR_NO_FILE => 'ファイルが選択されていません。',	js.csvimportcontroller.l418	P3
JS	Controllers/CsvImportController.php:421	return ['error' => $errorMessages[$code] ?? 'ファイルアップロードに失敗しました。'];	js.csvimportcontroller.l421	P3
JS	Controllers/CsvImportController.php:427	return ['error' => 'CSVファイルのみアップロード可能です。'];	js.csvimportcontroller.l427	P3
JS	Controllers/CsvImportController.php:432	return ['error' => 'ファイルの読み込みに失敗しました。'];	js.csvimportcontroller.l432	P3
JS	Controllers/CsvImportController.php:454	return ['error' => 'CSVヘッダーの読み取りに失敗しました。'];	js.csvimportcontroller.l454	P3
JS	public/js/automation.js:19	toastr.success(res.message || '作成しました');	js.automation.l19	P3
JS	public/js/automation.js:22	toastr.error(res.error || '作成に失敗しました');	js.automation.l22	P3
バリデーション	public/js/automation.js:26	toastr.error('通信エラー');	validation.automation.l26	P1
JS	public/js/automation.js:42	toastr.success(res.message || '更新しました');	js.automation.l42	P3
JS	public/js/automation.js:45	toastr.error(res.error || '更新に失敗しました');	js.automation.l45	P3
バリデーション	public/js/automation.js:49	toastr.error('通信エラー');	validation.automation.l49	P1
JS	public/js/automation.js:63	toastr.success(res.message || '実行しました');	js.automation.l63	P3
JS	public/js/automation.js:65	toastr.error(res.error || res.message || '実行に失敗しました');	js.automation.l65	P3
バリデーション	public/js/automation.js:69	toastr.error('通信エラー');	validation.automation.l69	P1
JS	public/js/automation.js:82	toastr.success(res.message || '実行しました');	js.automation.l82	P3
JS	public/js/automation.js:87	toastr.error(res.error || '実行に失敗しました');	js.automation.l87	P3
バリデーション	public/js/automation.js:91	toastr.error('通信エラー');	validation.automation.l91	P1
JS	Models/Team.php:133	if ($memberId === $creatorId) { // 作成者は既に追加済み	js.team.l133	P3
JS	views/address_book/view.php:1	<?php $pageTitle = htmlspecialchars($contact['name']) . ' - アドレス帳'; ?>	js.view.l1	P3
JS	views/address_book/view.php:6	<a href="<?= BASE_PATH ?>/address-book/export-vcard/<?= $contact['id'] ?>" class="btn btn-outline-success" title="vCardエクスポート"><i class="fas fa-download me-1"></i>vCard</a>	js.view.l6	P3
JS	views/address_book/view.php:7	<a href="<?= BASE_PATH ?>/address-book/edit/<?= $contact['id'] ?>" class="btn btn-outline-primary"><i class="fas fa-edit me-1"></i>編集</a>	js.view.l7	P3
JS	views/address_book/view.php:8	<a href="<?= BASE_PATH ?>/address-book" class="btn btn-outline-secondary"><i class="fas fa-arrow-left me-1"></i>一覧へ</a>	js.view.l8	P3
JS	views/address_book/view.php:31	<strong><i class="fas fa-id-card me-1"></i>名刺</strong>	js.view.l31	P3
JS	views/address_book/view.php:33	<button type="button" class="btn btn-outline-primary btn-sm" onclick="document.getElementById('replaceCardInput').click();" title="画像を差し替え">	js.view.l33	P3
JS	views/address_book/view.php:34	<i class="fas fa-sync-alt me-1"></i>差し替え	js.view.l34	P3
JS	views/address_book/view.php:36	<button type="button" class="btn btn-outline-danger btn-sm" onclick="deleteBusinessCard(<?= $contact['id'] ?>)" title="名刺画像を削除">	js.view.l36	P3
JS	views/address_book/view.php:37	<i class="fas fa-trash me-1"></i>削除	js.view.l37	P3
JS	views/address_book/view.php:43	<img src="<?= BASE_PATH ?>/address-book/card-image/<?= $contact['id'] ?>?t=<?= time() ?>" alt="名刺画像"	js.view.l43	P3
JS	views/address_book/view.php:49	<i class="fas fa-file-alt me-1"></i>OCRテキストを表示	js.view.l49	P3
JS	views/address_book/view.php:70	名刺画像が登録されていません	js.view.l70	P3
JS	views/address_book/view.php:73	<i class="fas fa-upload me-1"></i>名刺画像をアップロード	js.view.l73	P3
